Report,Year,Facility,City,State,Services Held,permanent clergy,CMDM clergy,notes,
1,1873,St. Paul's Church,"Albany, NY",New York,,"unlisted, likely Rev. Mr. Reese",,"""services held - unclear how many""",
1,1873,Church of the Mediator,"Allentown, PA",Pennsylvania,,,,"""services held - unclear how many""",
1,1873,Grace Church,"Baltimore, MD",Maryland,,,,"""services held - unclear how many""",
1,1873,Christ Church,"Biddeford, ME",Maine,,,,"""services held - unclear how many""",
1,1873,Chapel of the Good Shepherd,"Boston, MA",Massachusetts,,Rev. Mr. Krans,,"""services held - unclear how many""",
1,1873,Church of the Messiah,"Brooklyn, NY",New York,,,,"""services held - unclear how many""",
1,1873,St. Mary's Church,"Brooklyn, NY",New York,,,,"""services held - unclear how many""",
1,1873,Christ Church,"Buffalo, NY",New York,,,,"""services held - unclear how many""",
1,1873,St. Paul's Church,"Flint, MI",Michigan,,,,"""services held - unclear how many""",
1,1873,Trinity Church,"Geneva, NY",New York,,,,"""services held - unclear how many""",
1,1873,St. Paul's Church,"Hartford, CT",Connecticut,,,,"""services held - unclear how many""",
1,1873,St. John's Church,"Lowell, MA",Massachusetts,,,,"""services held - unclear how many""",
1,1873,Grace Church,"Mexico, NY",New York,,,,"""services held - unclear how many""",
1,1873,St. James' Church,"New London, CT",Connecticut,,,,"""services held - unclear how many""",
1,1873,St. Ann's Church,"New York City, NY",New York,52,Rev. Thomas Gallaudet,"Gallaudet, Chamberlain, Syle",weekly,
1,1873,Christ Church,"Norwich, CT",Connecticut,,,,"""services held - unclear how many""",
1,1873,St. Paul's Church,"Paterson, NJ",New Jersey,,,,"""services held - unclear how many""",
1,1873,St. Stephen's Church,"Philadelphia, PA",Pennsylvania,,,,"""services held - unclear how many""",
1,1873,St. Peter's Church,"Port Chester, NY",New York,,,,"""services held - unclear how many""",
1,1873,Christ Church,"Rochester, NY",New York,,,,"""services held - unclear how many""",
1,1873,St. Luke's Church,"Rochester, NY",New York,,,,"""services held - unclear how many""",
1,1873,Zion Church,"Rome, NY",New York,,,,"""services held - unclear how many""",
1,1873,Trinity Church,"Saco, ME",Maine,,,,"""services held - unclear how many""",
1,1873,Christ Church,"Springfield, MA",Massachusetts,,,,"""services held - unclear how many""",
1,1873,Grace Church,"Syracuse, NY",New York,,,,"""services held - unclear how many""",
1,1873,Trinity Church,"Syracuse, NY",New York,,,,"""services held - unclear how many""",
1,1873,St. Mark's Church,"Tarrytown, NY",New York,,,,"""services held - unclear how many""",
1,1873,St. Paul's Church,"Troy, NY",New York,,,,"""services held - unclear how many""",
1,1873,St. Mark's,"Washington, DC",D.C.,,,,"""services held - unclear how many""",
1,1873,Grace Church,"Watertown, NY",New York,,,,"""services held - unclear how many""",
1,1873,Trinity Church,"Watertown, NY",New York,,,,"""services held - unclear how many""",
1,1873,All Saint's Church,"Worcester, MA",Massachusetts,,,,"""services held - unclear how many""",
2,1874,St. Paul's Church,"Albany, NY",New York,12,"Rev. Mr. Reese, rector","Rev. Thomas B. Berry, Thomas Gallaudet",,
2,1874,Church of the Mediator,"Allentown, MD",Maryland,,"Rev. Mr. Byllesby, rector",,sunday services for a portion of the year,
2,1874,St. Anne's Church,"Annapolis, MD",Maryland,,,,Occasional services,
2,1874,Grace Church,"Baltimore, MD",Maryland,52,"Rev. Dr. Leeds, rector","Samuel Adams (died), John C. Covell, Thomas Gallaudet",,
2,1874,St. Thomas' Church,"Belleville, Canada",Canada,,,,Occasional services,
2,1874,Chapel of the Good Shepherd,"Boston, MA",Massachusetts,4,Rev. Mr. Krans,"Thomas Gallaudet, ",,
2,1874,St. John's Church,"Bridgeport, CT",Connecticut,52,"Rev. Mr. Maxcey, rector",,Bible Class,
2,1874,St. Mary's Church,"Brooklyn, NY",New York,,,,Occasional services,
2,1874,Christ Church,"Buffalo, NY",New York,,,,Occasional services,
2,1874,the Church in Canajoharie,"Canajoharie, NY",New York,,,,Occasional services,
2,1874,Grace Church,"Cherry Valley, NY",New York,,,,Occasional services,
2,1874,St. Paul's Church,"East Bridgeport, CT",Connecticut,,,,Occasional services,
2,1874,St. Paul's Church,"Flint, MI",Michigan,,"Rev. Mr. Lane, rector",,sunday services for a portion of the year,
2,1874,St. Paul's Church,"Hartford, CT",Connecticut,,,,Occasional services,
2,1874,St. Paul's Church,"Jackson, MI",Michigan,,,,Occasional services,
2,1874,St. Michael's Church,"Marblehead, MA",Masschusetts,,,,Occasional services,
2,1874,Grace Church,"Mexico, NY",New York,,,,Occasional services,
2,1874,St. Ann's Church,"New York City, NY",New York,52,"Thomas Gallaudet, William Chamberlain, Krans, Henry Winter Syle, (Bible class)",,,
2,1874,St. Stephen's Church,"Philadelphia, PA",Pennsylvania,12,"Rev. Dr. Rudder, rector","Thomas Gallaudet, Chamberlain, or Rev. Dr. Clerc",,
2,1874,Trinity Church,"Potsdam, NY",New York,,,,Occasional services,
2,1874,Christ's Church,"Rochester, NY",New York,,"Rev. Mr. Battershall, rector",John C. Acker,sunday services for a portion of the year,
2,1874,St. James' Church,"Syracuse, NY",New York,,,,Occasional services,
2,1874,St. Mark's Church ,"Tarrytown, NY",New York,,,,Occasional services,
2,1874,St. Paul's Chapel,"Troy, NY",New York,12,"Rev. Mr. Gwynne, Pastor","Rev. Thomas B. Berry, Miss Clapp (Bible Study for Deaf)","Berry = hearing with deaf wife, once a quarter, Gallaudet comes and Berry goes minister elsewhere",
2,1874,St. Mark's Church,"Washington, DC",D.C.,,,,Occasional services,
2,1874,All Saints' Church,"Worcester, MA",Masschusetts,,,,Occasional services,
3,1875,St. Paul's Church,"Albany, NY",New York,12,Rev. J. Livingston Reese,"Rev. Thomas B Berry, Thomas Gallaudet (after he resigned the position- now on last sundays of July, October, January and April, afternoon)","Berry resigned pastorate, accepted position as rector Trinity Church, Granville, NY",
3,1875,Grace Church,"Allentown, PA",Pennsylvania,52,Rev. Mr. Byllesby,"Mr. Thomas Roberts, deaf mute",,
3,1875,Grace Church,"Baltimore, MD",Maryland,52,"Rev. Dr. Leeds, rector","L.C. Tuck, John C. Covell, Rev. Thomas Gallaudet","Tuck licensed layereader in 1874, took over this mission December 1874",
3,1875,Trinity Church,"Baltimore, MD",Maryland,3,Rev. Dr. Leaken,"L.C. Tuck, Thomas Gallaudet","""a few special services""",
3,1875,Chapel of the Good Shepherd,"Boston, MA",Massachusetts,4,"Rev. George J. Prescott, Pastor",Gallaudet ,,
3,1875,St. Paul's Church,"Bridgeport, CT",Connecticut,52,"Rev. Dr. Richardson, rector","R.D. Beers, deaf, bible class, Galladuet, baptisms","Bible class, occasional services",
3,1875,St. Mark's Church,"Brooklyn, NY",New York,,,A.W. Mann,occasional services,
3,1875,St. Mary's Church,"Brooklyn, NY",New York,12,"Rev. Dr. Johnson, rector","Gallaudet, Chamberlain, James S. Wells (deaf), James Lewis (deaf)",,
3,1875,St. James' Church,"Chicago, IL",Illinois,,,A.W. Mann,occasional services,
3,1875,"unnamed, likely to be St. James' Church","Chicago, IL",Illinois,2,,A.W. Mann visited by Rev. Gallaudet,at least twice,
3,1875,Grace Church,"Cleveland, OH",Ohio,,,A.W. Mann,occasional services,
3,1875,"unnamed, likely to be Grace Church","Cleveland, OH",Ohio,2,,A.W. Mann visited by Rev. Gallaudet,at least twice,
3,1875,Trinity Church,"Columbus, OH",Ohio,,,A.W. Mann,occasional services,
3,1875,Christ Church,"Detroit, MI",Michigan,,,A.W. Mann visited by Rev. Gallaudet,occasional services,
3,1875,St. Paul's Church,"Erie, PA",Pennsylvania,,,A.W. Mann,occasional services,
3,1875,St. Paul's Church,"Flint, MI",Michigan,2,"Rev. Marcus Lane, rector","A.W. Mann, visited by Rev. Gallaudet","In Nov, June Gallaudet traveled to Michigan, traveled with Mann and preached in various places. At least twice.",
