"year","facility","location","frequency","churchClergy","CMDMClergy","notes","lon","lat"
1873,"St. Paul's Church","Albany, NY",NA,"unlisted, likely Rev. Mr. Reese","","services held - unclear how many",-73.7562317,42.6525793
1873,"Church of the Mediator","Allentown, PA",NA,"","","services held - unclear how many",-75.4901833,40.6084305
1873,"Grace Church","Baltimore, MD",NA,"","","services held - unclear how many",-76.6121893,39.2903848
1873,"Christ Church","Biddeford, ME",NA,"","","services held - unclear how many",-70.4533844,43.4925843
1873,"Chapel of the Good Shepherd","Boston, MA",NA,"Rev. Mr. Krans","","services held - unclear how many",-71.0597732,42.3584308
1873,"Church of the Messiah","Brooklyn, NY",NA,"","","services held - unclear how many",-73.9441579,40.6781784
1873,"St. Mary's Church","Brooklyn, NY",NA,"","","services held - unclear how many",-73.9441579,40.6781784
1873,"Christ Church","Buffalo, NY",NA,"","","services held - unclear how many",-78.8783689,42.8864468
1873,"St. Paul's Church","Flint, MI",NA,"","","services held - unclear how many",-83.6874562,43.0125274
1873,"Trinity Church","Geneva, NY",NA,"","","services held - unclear how many",-76.985557,42.8679836
1873,"St. Paul's Church","Hartford, CT",NA,"","","services held - unclear how many",-72.6850932,41.7637111
1873,"St. John's Church","Lowell, MA",NA,"","","services held - unclear how many",-71.3161718,42.6334247
1873,"Grace Church","Mexico, NY",NA,"","","services held - unclear how many",-76.2288176,43.4595138
1873,"St. James' Church","New London, CT",NA,"","","services held - unclear how many",-72.0995209,41.3556539
1873,"St. Ann's Church","New York City, NY",52,"Rev. Thomas Gallaudet","Gallaudet, Chamberlain, Syle","",-74.0059413,40.7127837
1873,"Christ Church","Norwich, CT",NA,"","","services held - unclear how many",-72.0759105,41.5242649
1873,"St. Paul's Church","Paterson, NJ",NA,"","","services held - unclear how many",-74.171811,40.9167654
1873,"St. Stephen's Church","Philadelphia, PA",NA,"","","services held - unclear how many",-75.163789,39.952335
1873,"St. Peter's Church","Port Chester, NY",NA,"","","services held - unclear how many",-73.6656834,41.0017643
1873,"Christ Church","Rochester, NY",NA,"","","services held - unclear how many",-77.6109219,43.16103
1873,"St. Luke's Church","Rochester, NY",NA,"","","services held - unclear how many",-77.6109219,43.16103
1873,"Zion Church","Rome, NY",NA,"","","services held - unclear how many",-75.4557303,43.2128473
1873,"Trinity Church","Saco, ME",NA,"","","services held - unclear how many",-70.4428286,43.5009176
1873,"Christ Church","Springfield, MA",NA,"","","services held - unclear how many",-72.589811,42.1014831
1873,"Grace Church","Syracuse, NY",NA,"","","services held - unclear how many",-76.1474244,43.0481221
1873,"Trinity Church","Syracuse, NY",NA,"","","services held - unclear how many",-76.1474244,43.0481221
1873,"St. Mark's Church","Tarrytown, NY",NA,"","","services held - unclear how many",-73.8587461,41.0762077
1873,"St. Paul's Church","Troy, NY",NA,"","","services held - unclear how many",-73.6917851,42.7284117
1873,"St. Mark's","Washington, DC",NA,"","","services held - unclear how many",-77.0368707,38.9071923
1873,"Grace Church","Watertown, NY",NA,"","","services held - unclear how many",-75.9107565,43.9747838
1873,"Trinity Church","Watertown, NY",NA,"","","services held - unclear how many",-75.9107565,43.9747838
1873,"All Saints' Church","Worcester, MA",NA,"","","services held - unclear how many",-71.8022934,42.2625932
1874,"St. Paul's Church","Albany, NY",12,"Rev. Mr. Reese, rector","Rev. Thomas B. Berry, Thomas Gallaudet","",-73.7562317,42.6525793
1874,"Church of the Mediator","Allentown, MD",NA,"Rev. Mr. Byllesby, rector","","sunday services for a portion of the year",-76.9224062,38.7927375
1874,"St. Anne's Church","Annapolis, MD",NA,"","","Occasional services",-76.4921829,38.9784453
1874,"Grace Church","Baltimore, MD",52,"Rev. Dr. Leeds, rector","Samuel Adams (died), John C. Covell, Thomas Gallaudet","",-76.6121893,39.2903848
1874,"St. Thomas' Church","Belleville, Canada",NA,"","","Occasional services",-77.3832315,44.1627589
1874,"Chapel of the Good Shepherd","Boston, MA",4,"Rev. Mr. Krans","Thomas Gallaudet, ","",-71.0597732,42.3584308
1874,"St. John's Church","Bridgeport, CT",52,"Rev. Mr. Maxcey, rector","","Bible Class",-73.1951767,41.1865478
1874,"St. Mary's Church","Brooklyn, NY",NA,"","","Occasional services",-73.9441579,40.6781784
1874,"Christ Church","Buffalo, NY",NA,"","","Occasional services",-78.8783689,42.8864468
1874,"the Church in Canajoharie","Canajoharie, NY",NA,"","","Occasional services",-74.5718073,42.9056288
1874,"Grace Church","Cherry Valley, NY",NA,"","","Occasional services",-74.7532018,42.7956294
1874,"St. Paul's Church","East Bridgeport, CT",NA,"","","Occasional services",-73.1951767,41.1865478
1874,"St. Paul's Church","Flint, MI",NA,"Rev. Mr. Lane, rector","","sunday services for a portion of the year",-83.6874562,43.0125274
1874,"St. Paul's Church","Hartford, CT",NA,"","","Occasional services",-72.6850932,41.7637111
1874,"St. Paul's Church","Jackson, MI",NA,"","","Occasional services",-84.4013462,42.245869
1874,"St. Michael's Church","Marblehead, MA",NA,"","","Occasional services",-70.8578024,42.4999582
1874,"Grace Church","Mexico, NY",NA,"","","Occasional services",-76.2288176,43.4595138
1874,"St. Ann's Church","New York City, NY",52,"Thomas Gallaudet, William Chamberlain, Krans, Henry Winter Syle, (Bible class)","","",-74.0059413,40.7127837
1874,"St. Stephen's Church","Philadelphia, PA",12,"Rev. Dr. Rudder, rector","Thomas Gallaudet, Chamberlain, or Rev. Dr. Clerc","",-75.163789,39.952335
1874,"Trinity Church","Potsdam, NY",NA,"","","Occasional services",-74.9813084,44.6697805
