Vote,,,,,,,,
Submission Details,,,,,,,,
Serial,SID,IP Address,Articulates a vision,Motivates others,Makes effective decisions,Willingness to confront tough issues,Impacts history,Node
70746,70952,176.40.14.101,5,5,5,5,5,node/88
70747,70953,176.219.145.157,5,5,5,5,4.5,node/88
70748,70954,176.41.232.161,5,5,5,5,5,node/88
70749,70955,92.45.135.173,5,5,5,5,5,node/88
70750,70956,82.222.105.129,5,5,5,5,5,node/88
70751,70957,78.173.150.109,5,5,5,5,5,node/88
70752,70958,95.13.72.249,5,5,5,5,5,node/88
70753,70959,92.45.135.173,5,5,5,5,5,node/88
70754,70960,176.41.232.161,5,5,5,5,5,node/38
70755,70961,82.222.105.129,5,5,5,5,5,node/88
70756,70962,78.171.170.159,5,5,5,5,5,node/88
70757,70963,92.45.135.173,5,5,5,5,5,node/88
70758,70964,88.253.129.32,5,5,5,5,5,node/88
70759,70965,64.119.222.206,5,5,5,5,5,node/88
70760,70966,88.253.129.32,5,5,5,5,5,node/88
70761,70967,195.214.190.57,5,5,5,5,5,node/88
70762,70968,92.45.135.173,5,5,5,5,5,node/88
70763,70969,78.172.109.20,5,5,5,5,5,node/105
70764,70970,95.7.151.136,5,5,5,5,5,node/88
70765,70971,88.254.91.244,5,5,5,5,5,node/88
70766,70972,178.245.194.249,5,5,5,5,5,node/88
70767,70973,5.46.117.199,5,5,5,5,5,node/88
70768,70974,88.244.25.217,5,5,5,5,5,node/88
70769,70975,95.13.72.249,5,5,5,5,5,node/88
70770,70976,176.237.177.146,5,5,5,5,5,node/88
70771,70977,88.251.2.140,5,5,5,5,5,node/88
70772,70978,78.183.65.59,5,5,5,5,5,node/88
70773,70979,95.13.72.249,5,5,5,5,5,node/88
70774,70980,78.183.65.59,5,5,5,5,5,node/88
70775,70981,88.224.148.187,5,5,5,5,5,node/88
70776,70982,77.92.19.112,5,5,5,5,5,node/88
70777,70983,78.183.65.59,5,5,5,5,5,node/88
70778,70984,178.240.254.253,5,5,5,5,5,node/88
70779,70985,88.234.218.54,5,5,5,5,5,node/85
70780,70986,212.252.68.69,5,5,5,5,5,node/88
70781,70987,212.253.62.127,5,5,5,5,5,node/88
70782,70988,78.191.0.138,5,5,5,5,5,node/88
70783,70989,88.234.218.54,5,5,5,5,5,node/88
70784,70990,212.252.68.69,5,5,5,5,5,node/88
70785,70991,88.254.86.37,5,5,5,5,5,node/38
70786,70992,88.243.125.63,5,5,5,5,5,node/88
70787,70993,207.243.194.194,5,5,5,5,5,node/88
70788,70994,76.109.67.123,5,5,5,5,5,node/88
70789,70995,76.109.67.123,5,5,5,5,5,node/88
70790,70996,5.47.90.199,5,5,5,5,5,node/88
70791,70997,176.42.193.203,1,1,1,1,1,node/88
70792,70998,207.243.194.194,5,5,5,5,5,node/85
70793,70999,176.219.145.184,5,5,5,5,5,node/88
70794,71000,94.122.83.34,5,5,5,5,5,node/88
70795,71001,176.219.145.184,5,5,5,5,5,node/88
70796,71002,80.76.166.90,5,5,5,5,5,node/88
70797,71003,188.57.120.213,5,5,5,5,5,node/88
70798,71004,178.240.224.147,5,5,5,5,5,node/88
70799,71005,88.246.200.190,5,5,5,5,5,node/88
70800,71006,94.55.170.55,5,5,5,5,5,node/88
70801,71007,94.55.170.55,5,5,5,5,5,node/88
70802,71008,5.47.107.240,5,5,5,5,5,node/88
70803,71009,176.219.164.248,5,5,5,5,5,node/88
70804,71010,24.133.138.166,5,5,5,5,5,node/88
