Person 1,Person 2,role
Rev. Henry Winter Syle,Bishop William B. Stevens,ordained
Rev. Henry Winter Syle,Rev. Dr. Miller,presented
Rev. Austin Ward Mann,Bishop G. T. Bedell,ordained
Rev. Austin Ward Mann,Rev. Dr. Atwell,presented
Rev. Jacob M. Koehler,Rt. Rev. Mark A. D. Howe,ordained
Rev. Jacob M. Koehler,Rev. Thomas Gallaudet,presented
Rev. Job Turner,unknown,ordained
Rev. Job Turner,unknown,presented
Rev. James Henry Cloud,Rt. Rev. Daniel S. Tuttle,ordained
Rev. James Henry Cloud,Rev. Jacob M. Koehler,presented
Rev. Charles Orvis Dantzer,Rt. Rev. Frederick D. Huntington,ordained
Rev. Charles Orvis Dantzer,Rev. Jacob M. Koehler,presented
Rev. Oliver J. Whildin,Rt. Rev. Ozie W. Whitaker,ordained
Rev. Oliver J. Whildin,unknown,presented
Rev. Harry John Van Allen,Rt. Rev. Bishop William C. Doane,ordained
Rev. Harry John Van Allen,Rev. Dr. G. D. Silliman,presented
Rev. Franklin C. Smielau,Rt. Rev. Ethelbert Talbot,ordained
Rev. Franklin C. Smielau,Rev. Jacob M. Koehler,presented
Rev. George Frederick Flick,Rt. Rev. Henry Yates Satterlee,ordained
Rev. George Frederick Flick,Rev. Oliver J. Whildin,presented
Rev. John H. Keiser,Rt. Rev. Bishop David H. Greer,ordained
Rev. John H. Keiser,Rev. John Chamberlain,presented
