GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ABZ001,ABZ002,ABZ003,ABZ004,ABZ005,ABZ006
"G0100010","1830","Alabama","010","Autauga","0010","Autauga",3,1,1,2,0,3
"G0100030","1830","Alabama","010","Baldwin","0030","Baldwin",1,0,0,0,1,0
"G0100070","1830","Alabama","010","Bibb","0070","Bibb",0,0,0,0,0,0
"G0100090","1830","Alabama","010","Blount","0090","Blount",1,2,0,0,0,1
"G0100130","1830","Alabama","010","Butler","0130","Butler",1,1,1,0,0,0
"G0100250","1830","Alabama","010","Clarke","0250","Clarke",3,0,1,0,0,0
"G0100350","1830","Alabama","010","Conecuh","0350","Conecuh",0,1,0,1,0,0
"G0100390","1830","Alabama","010","Covington","0390","Covington",0,0,0,0,0,0
"G0100450","1830","Alabama","010","Dale","0450","Dale",0,0,0,0,0,0
"G0100470","1830","Alabama","010","Dallas","0470","Dallas",0,0,0,0,1,0
"G0100570","1830","Alabama","010","Fayette","0570","Fayette",1,0,1,0,0,0
"G0100590","1830","Alabama","010","Franklin","0590","Franklin",0,0,0,4,2,0
"G0100630","1830","Alabama","010","Greene","0630","Greene",0,1,1,0,0,0
"G0100670","1830","Alabama","010","Henry","0670","Henry",0,0,0,0,0,0
"G0100710","1830","Alabama","010","Jackson","0710","Jackson",2,1,0,0,0,0
"G0100730","1830","Alabama","010","Jefferson","0730","Jefferson",0,1,0,0,0,0
"G0100770","1830","Alabama","010","Lauderdale","0770","Lauderdale",0,0,1,0,0,0
"G0100790","1830","Alabama","010","Lawrence","0790","Lawrence",1,0,0,0,1,0
"G0100830","1830","Alabama","010","Limestone","0830","Limestone",0,2,0,0,0,1
"G0100850","1830","Alabama","010","Lowndes","0850","Lowndes",1,0,2,0,0,0
"G0100890","1830","Alabama","010","Madison","0890","Madison",3,2,2,0,1,0
"G0100910","1830","Alabama","010","Marengo","0910","Marengo",2,3,0,0,0,0
"G0100930","1830","Alabama","010","Marion","0930","Marion",0,3,3,0,0,0
"G0100970","1830","Alabama","010","Mobile","0970","Mobile",0,0,0,0,0,0
"G0100990","1830","Alabama","010","Monroe","0990","Monroe",6,2,0,1,0,1
"G0101010","1830","Alabama","010","Montgomery","1010","Montgomery",0,0,0,0,1,0
"G0101030","1830","Alabama","010","Morgan","1030","Morgan",0,0,2,0,0,0
"G0101050","1830","Alabama","010","Perry","1050","Perry",1,0,0,0,0,0
"G0101070","1830","Alabama","010","Pickens","1070","Pickens",3,1,1,0,0,0
"G0101090","1830","Alabama","010","Pike","1090","Pike",4,1,0,0,0,1
"G0101150","1830","Alabama","010","St Clair","1150","St Clair",3,1,0,0,0,0
"G0101170","1830","Alabama","010","Shelby","1170","Shelby",0,1,0,0,0,0
"G0101250","1830","Alabama","010","Tuscaloosa","1250","Tuscaloosa",8,1,3,0,0,0
"G0101270","1830","Alabama","010","Walker","1270","Walker",1,0,0,0,0,0
"G0101290","1830","Alabama","010","Washington","1290","Washington",0,0,0,0,0,0
"G0101310","1830","Alabama","010","Wilcox","1310","Wilcox",0,0,0,1,0,0
"G0550015","1830","Arkansas Territory","055","Arkansas","0015","Arkansas",0,0,0,1,0,0
"G0550035","1830","Arkansas Territory","055","Chicot","0035","Chicot",0,0,0,0,0,0
"G0550055","1830","Arkansas Territory","055","Clark","0055","Clark",1,0,0,0,0,0
"G0550075","1830","Arkansas Territory","055","Conway","0075","Conway",0,0,0,0,0,0
"G0550095","1830","Arkansas Territory","055","Crawford","0095","Crawford",0,0,0,2,0,0
"G0550115","1830","Arkansas Territory","055","Crittenden","0115","Crittenden",0,0,0,0,0,0
"G0550135","1830","Arkansas Territory","055","Hempstead","0135","Hempstead",0,0,0,0,0,0
"G0550155","1830","Arkansas Territory","055","Hot Spring","0155","Hot Spring",0,0,0,0,0,0
"G0550175","1830","Arkansas Territory","055","Independence","0175","Independence",0,1,0,0,0,0
"G0550195","1830","Arkansas Territory","055","Izard","0195","Izard",0,0,0,0,0,0
