GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AC3001,AC3002,AC3003,ACG001
"G0100010","1840","Alabama","010","Autauga","0010","Autauga",1,0,0,5
"G0100030","1840","Alabama","010","Baldwin","0030","Baldwin",0,0,0,0
"G0100050","1840","Alabama","010","Barbour","0050","Barbour",2,3,0,0
"G0100055","1840","Alabama","010","Benton","0055","Benton",2,2,3,4
"G0100070","1840","Alabama","010","Bibb","0070","Bibb",0,1,1,0
"G0100090","1840","Alabama","010","Blount","0090","Blount",1,1,0,0
"G0100130","1840","Alabama","010","Butler","0130","Butler",0,1,0,0
"G0100170","1840","Alabama","010","Chambers","0170","Chambers",1,0,0,1
"G0100190","1840","Alabama","010","Cherokee","0190","Cherokee",4,2,3,1
"G0100250","1840","Alabama","010","Clarke","0250","Clarke",2,0,1,1
"G0100350","1840","Alabama","010","Conecuh","0350","Conecuh",0,0,2,1
"G0100370","1840","Alabama","010","Coosa","0370","Coosa",3,0,0,0
"G0100390","1840","Alabama","010","Covington","0390","Covington",0,1,0,1
"G0100450","1840","Alabama","010","Dale","0450","Dale",0,1,1,0
"G0100470","1840","Alabama","010","Dallas","0470","Dallas",4,6,4,6
"G0100490","1840","Alabama","010","DeKalb","0490","Dekalb",0,0,0,1
"G0100570","1840","Alabama","010","Fayette","0570","Fayette",0,0,1,0
"G0100590","1840","Alabama","010","Franklin","0590","Franklin",0,1,2,3
"G0100630","1840","Alabama","010","Greene","0630","Greene",2,0,0,3
"G0100670","1840","Alabama","010","Henry","0670","Henry",1,0,0,0
"G0100710","1840","Alabama","010","Jackson","0710","Jackson",2,3,4,3
"G0100730","1840","Alabama","010","Jefferson","0730","Jefferson",0,1,0,0
"G0100770","1840","Alabama","010","Lauderdale","0770","Lauderdale",3,3,0,1
"G0100790","1840","Alabama","010","Lawrence","0790","Lawrence",3,1,1,2
"G0100830","1840","Alabama","010","Limestone","0830","Limestone",2,0,0,1
"G0100850","1840","Alabama","010","Lowndes","0850","Lowndes",0,0,0,0
"G0100870","1840","Alabama","010","Macon","0870","Macon",3,3,0,1
"G0100890","1840","Alabama","010","Madison","0890","Madison",3,1,3,2
"G0100910","1840","Alabama","010","Marengo","0910","Marengo",1,0,1,0
"G0100930","1840","Alabama","010","Marion","0930","Marion",0,0,0,0
