GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ALF001,ALF002,ALF003,ALF004,ALF005,ALF006,ALF007,ALF008,ALF009,ALF010,ALF011,ALF012,ALF013,ALF014,ALF015,ALF016,ALF017,ALF018,ALF019,ALF020,ALF021,ALF022,ALF023,ALF024,ALF025,ALF026,ALF027,ALF028,ALF029,ALF030,ALF031,ALF032,ALF033,ALF034,ALF035,ALF036,ALF037,ALF038,ALF039,ALF040,ALF041,ALF042,ALF043,ALF044,ALF045,ALF046,ALF047,ALF048,ALF049,ALF050,ALF051,ALF052,ALF053,ALF054,ALF055,ALF056,ALF057,ALF058,ALF059,ALF060,ALF061,ALF062,ALF063,ALF064,ALF065,ALF066,ALF067,ALF068,ALF069,ALF070,ALF071,ALF072,ALF073,ALF074,ALF075,ALF076,ALF077
G0100010,1870,Alabama,10,Autauga,10,Autauga,9620,9620,,,,,,636,,,,,,,,,,,,,,,,,,,302,,,,,399,42,,,432,,,,,,,,,,,,,,,8,,,0,,,0,,,,8,0,5,0,,,6,0,,,,,2,,2,2,
G0100015,1870,Alabama,10,Baker,15,Baker,5211,5211,,,,,,451,,,,,,,,,,,,,,,,,,,87,,,,,291,40,,,47,,,,,,,,,,,,,,,0,,,0,,,0,,,,1,1,2,0,,,3,0,,,,,0,,0,0,
G0100030,1870,Alabama,10,Baldwin,30,Baldwin,4653,4653,,,,,,139,,,,,,,,,,,,,,,,,,,367,,,,,151,27,,,149,,,,,,,,,,,,,,,1,,,2,,,2,,,,19,9,47,0,,,32,1,,,,,11,,6,1,
G0100050,1870,Alabama,10,Barbour,50,Barbour,20498,20498,,,,,,4828,,,,,,,,,,,,,,,,,,,1043,,,,,1536,59,,,670,,,,,,,,,,,,,,,3,,,0,,,3,,,,11,6,45,0,,,49,0,,,,,22,,0,1,
G0100070,1870,Alabama,10,Bibb,70,Bibb,6331,6331,,,,,,255,,,,,,,,,,,,,,,,,,,230,,,,,244,166,,,100,,,,,,,,,,,,,,,3,,,0,,,0,,,,5,1,0,0,,,11,1,,,,,1,,0,0,
G0100090,1870,Alabama,10,Blount,90,Blount,7126,7126,,,,,,1323,,,,,,,,,,,,,,,,,,,240,,,,,629,409,,,67,,,,,,,,,,,,,,,1,,,0,,,0,,,,1,0,0,0,,,9,0,,,,,0,,0,0,
G0100110,1870,Alabama,10,Bullock,110,Bullock,17418,17418,,,,,,4204,,,,,,,,,,,,,,,,,,,635,,,,,935,214,,,659,,,,,,,,,,,,,,,13,,,5,,,2,,,,6,5,29,0,,,16,0,,,,,7,,0,0,
G0100130,1870,Alabama,10,Butler,130,Butler,12034,12034,,,,,,1390,,,,,,,,,,,,,,,,,,,278,,,,,731,36,,,195,,,,,,,,,,,,,,,3,,,0,,,3,,,,5,8,37,0,,,13,0,,,,,2,,0,0,
G0100150,1870,Alabama,10,Calhoun,150,Calhoun,9339,9339,,,,,,1817,,,,,,,,,,,,,,,,,,,479,,,,,1539,359,,,160,,,,,,,,,,,,,,,2,,,0,,,3,,,,10,3,23,0,,,22,2,,,,,13,,0,1,
G0100170,1870,Alabama,10,Chambers,170,Chambers,11235,11235,,,,,,4734,,,,,,,,,,,,,,,,,,,329,,,,,685,59,,,345,,,,,,,,,,,,,,,6,,,0,,,1,,,,5,1,17,0,,,21,3,,,,,2,,0,1,
G0100190,1870,Alabama,10,Cherokee,190,Cherokee,6273,6273,,,,,,2458,,,,,,,,,,,,,,,,,,,515,,,,,1146,498,,,128,,,,,,,,,,,,,,,0,,,0,,,2,,,,9,0,10,0,,,6,1,,,,,0,,0,0,
G0100230,1870,Alabama,10,Choctaw,230,Choctaw,9712,9712,,,,,,436,,,,,,,,,,,,,,,,,,,607,,,,,517,105,,,343,,,,,,,,,,,,,,,2,,,0,,,2,,,,10,4,3,0,,,16,0,,,,,3,,3,0,
