Month,MajorText,MinorText,CrimeCount,Spatial_DistrictName
201104,Violence Against The Person,Common Assault,81,Kensington and Chelsea
201104,Burglary,Burglary In A Dwelling,78,Kensington and Chelsea
201104,Other Notifiable Offences,Other Notifiable,12,Kensington and Chelsea
201104,Robbery,Personal Property,41,Kensington and Chelsea
201104,Theft and Handling,Handling Stolen Goods,3,Kensington and Chelsea
201104,Theft and Handling,Theft/Taking Of Pedal Cycle,59,Kensington and Chelsea
201104,Violence Against The Person,Wounding/GBH,9,Kensington and Chelsea
201104,Criminal Damage,Criminal Damage To Other Building,16,Kensington and Chelsea
201104,Criminal Damage,Criminal Damage To Dwelling,36,Kensington and Chelsea
201104,Violence Against The Person,Other Violence,3,Kensington and Chelsea
201104,Robbery,Business Property,6,Kensington and Chelsea
201104,Sexual Offences,Other Sexual,6,Kensington and Chelsea
201104,Theft and Handling,Motor Vehicle Interference and Tampering,5,Kensington and Chelsea
201104,Violence Against The Person,Offensive Weapon,3,Kensington and Chelsea
201104,Theft and Handling,Theft From Motor Vehicle,132,Kensington and Chelsea
201104,Drugs,Possession Of Drugs,87,Kensington and Chelsea
201104,Other Notifiable Offences,Going Equipped,1,Kensington and Chelsea
201104,Burglary,Burglary In Other Buildings,60,Kensington and Chelsea
201104,Violence Against The Person,Assault With Injury,89,Kensington and Chelsea
201104,Criminal Damage,Criminal Damage To Motor Vehicle,32,Kensington and Chelsea
201104,Theft and Handling,Theft Person,76,Kensington and Chelsea
201104,Fraud and Forgery,Other Fraud and Forgery,29,Kensington and Chelsea
201104,Theft and Handling,Theft/Taking Of Motor Vehicle,45,Kensington and Chelsea
201104,Criminal Damage,Other Criminal Damage,25,Kensington and Chelsea
201104,Drugs,Drug Trafficking,2,Kensington and Chelsea
201104,Sexual Offences,Rape,7,Kensington and Chelsea
201104,Fraud and Forgery,Counted Per Victim,33,Kensington and Chelsea
201104,Violence Against The Person,Harassment,71,Kensington and Chelsea
201104,Theft and Handling,Theft From Shops,156,Kensington and Chelsea
201104,Theft and Handling,Other Theft,442,Kensington and Chelsea
201104,Sexual Offences,Other Sexual,38,Westminster
201104,Robbery,Business Property,2,Westminster
201104,Drugs,Possession Of Drugs,492,Westminster
201104,Theft and Handling,Theft/Taking Of Pedal Cycle,159,Westminster
201104,Robbery,Personal Property,192,Westminster
201104,Sexual Offences,Rape,10,Westminster
201104,Drugs,Drug Trafficking,9,Westminster
201104,Theft and Handling,Theft/Taking Of Motor Vehicle,49,Westminster
201104,Theft and Handling,Handling Stolen Goods,9,Westminster
201104,Criminal Damage,Criminal Damage To Motor Vehicle,92,Westminster
201104,Violence Against The Person,Wounding/GBH,45,Westminster
201104,Other Notifiable Offences,Going Equipped,4,Westminster
201104,Theft and Handling,Theft From Motor Vehicle,237,Westminster
201104,Criminal Damage,Criminal Damage To Other Building,42,Westminster
201104,Theft and Handling,Other Theft,1692,Westminster
201104,Violence Against The Person,Common Assault,178,Westminster
201104,Theft and Handling,Motor Vehicle Interference and Tampering,5,Westminster
201104,Violence Against The Person,Offensive Weapon,21,Westminster
201104,Fraud and Forgery,Counted Per Victim,91,Westminster
201104,Theft and Handling,Theft From Shops,421,Westminster
201104,Violence Against The Person,Other Violence,30,Westminster
201104,Fraud and Forgery,Other Fraud and Forgery,70,Westminster
201104,Criminal Damage,Other Criminal Damage,63,Westminster
201104,Other Notifiable Offences,Other Notifiable,84,Westminster
201104,Theft and Handling,Theft Person,657,Westminster
201104,Violence Against The Person,Harassment,196,Westminster
